498,1,901450,SKI-AP. PUTI FARMA,JL. JEND A. YANI PELABUHAN RAT,SUKABUMI,43111,SKI-Z2PH01,"PALABUHAN RATU, SURADE",101
499,1,901451,SKI-TC. BAROKAH METRO,PS. CIRANJANG METRO NO 16 CIAN,CIANJUR,43282,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
500,1,901452,SKI-TK. REZA,KP. TEGAL PUNCAK RT. 03/01 KEL,CIANJUR,43284,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",206
501,1,901453,SKI-TK. TIGA PUTRA,"TERMINAL JUBLEG N0. 5-6-7, SUK",SUKABUMI,43151,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
502,1,901455,SKI-TK. 99 I,"PS. PARUNG KUDA BLK.H/7 PRKD,",KAB. SUKABUMI,43357,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
503,1,901456,SKI-TO. SURADE,"JL. RAYA SURADE NO 25 RT 2/01,",KAB. SUKABUMI,43179,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
504,1,901458,SKI-AP. ANEKA FARMA,JL. SURYA KENCANA NO. 63 RT.01,KAB. SUKABUMI,43351,SKI-Z2PH01,"PALABUHAN RATU, SURADE",101
505,1,901459,SKI-PD. TUNAS MULYA,KP. BUNUT RT. 03 RW. 01 KELURA,CIANJUR,43267,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
506,1,901460,SKI-TK. DHEA,"JL. KADU PANDAK NO.6 RT.01/2,",CIANJUR,43268,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
507,1,901461,SKI-AP. ENDAH FARMA,JL. RUMAH SAKIT GG.PANGLAYUNGA,CIANJUR,43216,SKI-RXLK01,EXP LUAR KOTA CIANJUR,301
508,1,901462,SKI-PD. SEJAHTERA ABADI,"JL. CEMERLANG NO.69 RT.01/12,",SUKABUMI,43133,SKI-Z1CP01,SUKABUMI KOTA,200
509,1,901463,SKI-TK. HST PUTRA,JL.PAGELARAN RT.01/10 NO.59 CI,CIANJUR,43211,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
510,1,901464,SKI-TK. YAYAN,KP. CIPARAY RT. 03/11 KEL. SAL,CIANJUR,43262,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
511,1,901465,PD. SEJAHTERA ABADI,JL.PELABUHAN 2 KM 17 RT.05/03,SUKABUMI,43364,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
512,1,901466,SKI-TK. DEDEN,JL. SINDANG BARANG CIDAUN CIAN,CIANJUR,43272,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
513,1,901467,SKI-TO. ABDI,JL.SILIWANGI NO.7 CIKALONG KUL,CIANJUR,43291,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
514,1,901469,SKI-AP. RIAMIN FARMA,JL. SURYA KENCANA NO. 179 BLOK,SUKABUMI,43351,SKI-RXLK03,EXP LUAR KOTA SUKABUMI,302
515,1,901470,SKI-TK. ASGROSS RIZKY,JL. PABUARAN NO. 74 DAYEUH LUH,SUKABUMI,43111,SKI-Z1CP01,SUKABUMI KOTA,200
516,1,901471,SKI-TO. WALAGRI,PERUM BAROS KENCANA JL. KECUBU,SUKABUMI,43161,SKI-Z1CP01,SUKABUMI KOTA,200
517,1,901472,SKI-MM. PRIMA,JL. MERDEKA SANTIONG BUMI PURN,SUKABUMI,43134,SKI-Z1CP01,SUKABUMI KOTA,200
518,1,901473,SKI-TK. KAYYA,JL. CIKADU SAGARANTEN SUKABUMI,SUKABUMI,43178,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
519,1,901474,SKI-AP. BUNDA MEDIKA,JL. IR. H. JUANDA NO. 57 RT. 0,CIANJUR,43216,SKI-Z3PH01,"CIANJUR KOTA, CIBEBER,",102
520,1,901475,SKI-TK. ABIDIN,JL. WARINGIN AGRABINTA CIANJUR,CIANJUR,43273,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
521,1,901476,SKI-TK. INTAN,JL.CIUJUNG RT.01/03 NO.107 SUK,CIANJUR,43275,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
522,1,901477,SKI-MM. CIREMAI GROSIR 2,JL.ARIA NATA MANGGALA KAV.MAND,CIANJUR,43281,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
523,1,901478,SKI-TK. ELY,JL. HARTONO 53 CIKALONG CIANJU,CIANJUR,43291,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
524,1,901479,SKI-MM. CIREMAI 3,"JL.KH.SALEH NO.26,KEL.SAYANG,",CIANJUR,43214,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
525,1,901480,SKI-TK. IKHSAN,PS.CIPANAS LT.DASAR BLOK.C NO.,CIANJUR,43252,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",206
526,1,901481,SKI-AP. IKANA,JL. RAYA CIPANAS RUKO CIPANAS,KAB. CIANJUR,43253,SKI-Z3PH01,"CIANJUR KOTA, CIBEBER,",102
527,1,901482,SKI-TK. SAMBAYO,JL.PELABUHAN RATU PSR.CIGOMBON,SUKABUMI,43364,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
528,1,901483,SKI-TK. ISTIJABAH,PS.CIBADAK BLK AB I NO.36 SMI,SUKABUMI,43351,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
529,1,901484,SKI-TK. YOYOH,"JL. CIJATI CIANJUR SELATAN, CI",CIANJUR,43268,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
530,1,901485,SKI-AP. K 24,SINDANG LAYA NO.184 RT. 03 RW.,CIANJUR,43253,SKI-Z3PH01,"CIANJUR KOTA, CIBEBER,",102
531,1,901486,SKI-MM. INEZ,TANJUNG SARI JL.KATULISTIWA 45,SUKABUMI,43121,SKI-Z1CP01,SUKABUMI KOTA,200
532,1,901487,SKI-TK. MUSTIKA ALAM,JL. GEGER BITUNG 165 SUKABUMI,SUKABUMI,43197,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
533,1,901488,SKI-MM. NS MARD,JL. RAYA CIBEBER-CIPETIR (SEBE,CIANJUR,43262,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
534,1,901489,SKI-TO. ENGGAL WARAS,JL. MOCH.ALI NO.27 PS CIRANJAN,CIANJUR,43211,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
535,1,901490,SKI-TO. ANEKA FARMA,JL. MOCH ALI NO.02 RT.01 RW.03,CIANJUR,43282,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
536,1,901492,SKI-TC. CAHAYA KOSMETIK,JL.RAYA SONGGOM NO.98 PS CIBEB,CIANJUR,43262,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
537,1,901493,SKI-AP. INDOMEDIKA,JL. RUMAH SAKIT NO.4 KOTA SUKA,SUKABUMI,43113,SKI-Z1PH01,SUKABUMI KOTA,100
538,1,901494,SKI-TK. AGUS,JL. GEGER BITUNG 09 SUKABUMI,SUKABUMI,43197,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
539,1,901496,SKI-TK. LN,JL. RAYACIJURAY NO. 36 SAGARAN,KAB. SUKABUMI,43181,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
540,1,901497,"SKI-TK. NUNUNG,IBU",JL. RY GEGER BITUNG 130 GB SUK,SUKABUMI,43197,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
541,1,901499,SKI-TO. SURYA FARMA,"JL. RY. CIBEBER NO.12 A, PASIR",CIANJUR,43285,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",206
542,1,901501,SKI-TK. BAROKAH,JL. PELABUHAN II CIKEMBAR SMI,SUKABUMI,43364,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",202
543,1,901503,SKI-TO. SAHABAT 2,JL.KH.M SUJA'I CILAKU BABAKAN,CIANJUR,43285,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
544,1,901504,SKI-TK. TEH ENI,"PS. CISAAT BLOK KD NO.11, CISA",SUKABUMI,43152,SKI-Z1CP01,SUKABUMI KOTA,200
545,1,901507,SKI-TK. RINA,PS. BJLOPANG 10/3 JAMPANG TENG,SUKABUMI,43171,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
546,1,901509,SKI-TK. SEDERHANA,PS. SURADE RT. 6/2 NO. 32 SUKA,SUKABUMI,43179,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
547,1,901511,SKI-TK. DANU PUTRA,PS. BOJONG LOPANG JAMPANG TENG,SUKABUMI,43171,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
548,1,901513,SKI-TK. SYIAR SUKABUMI,KP.SIMPANG KARET RT.01/01 NO.2,SUKABUMI,43179,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
549,1,901514,SKI-TK. ARISKA,PASAR CINAGEN NO. 8 RT. 08/03,SUKABUMI,43178,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
550,1,901515,SKI-TK. DEDI,JL. BANTEN CISOLOK SUKABUMI,SUKABUMI,43366,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
551,1,901517,SKI-TK. CITRA JAYA,JL.RAYA PARUNG KUDA NO.10 D RT,SUKABUMI,43357,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",202
552,1,901521,SKI-TK. BAROKAH,JL. CIBEBER CIANJUR SELATAN,CIANJUR,43262,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",206
553,1,901522,SKI-TK. NANA,"PASAR SUKANEGARA CJR SEL, CIAN",CIANJUR,43264,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
554,1,901523,SKI-TK. LM-2,JL. CIBAREGBEG KP.CIHAUR RT.04,CIANJUR,43262,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",206
555,1,901525,SKI-TK. JULISKA,JL.SUKANAGARA KM.17 RT.04/01 N,CIANJUR,43264,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
556,1,901526,SKI-TO. NUSAWANGI,JL. SUKANEGARA 01/01 NO.14 CIA,CIANJUR,43264,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
557,1,901527,SKI-TK. ARIS,KP.CIBOGO RT.9/3 NO.17 BOBOJON,CIANJUR,43292,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
558,1,901528,SKI-TK. BUDI UTAMA,JL. SUKANEGARA 01/01 NO.27,CIANJUR,43264,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
559,1,901529,SKI-TK. PUTERA PANENGAH,JL.PAL 1 PSR.WARINGIN JATISARI,CIANJUR,43273,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
560,1,901530,SKI-TO. SEDERHANA,JL SURADE NO 64 RT 06/02 SURAD,KAB. SUKABUMI,43179,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
561,1,901531,SKI-TK. RIVAL,JL. RY UBRUG WARUNG KIARA SMI,SUKABUMI,43111,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",205
562,1,901532,SKI-TK. YU&WIE CIANJUR,JL.HANJAWAR LOJI NO.1 KP.CISEU,CIANJUR,43253,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",206
563,1,901533,SKI-TO. ZALFA,PS. SAGARANTEN SUKABUMI,KAB. SUKABUMI,43181,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
564,1,901534,SKI-TK. PUTRI KEMBAR,PS.DAYA BAKTI BLOK.F NO.19 PAN,SUKABUMI,43161,SKI-Z1CP01,SUKABUMI KOTA,200
565,1,901535,SKI-TK. CHI-CHI,JL. AHMAD YANI SUKABUMI,SUKABUMI,43151,SKI-Z1CP01,SUKABUMI KOTA,200
566,1,901536,SKI-TO. SAPTA,JL.RAYA CIBEBER NO.11 CIANJUR,CIANJUR,43262,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
567,1,901537,SKI-TK. SIMPATI TRIJAYA,JL. RAYA SILIWANGI CICURUG SUK,SUKABUMI,43359,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",202
568,1,901538,SKI-TK. AMELIA,JL. RAYA NYALINDUNG NO.30 KP.,SUKABUMI,43196,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
569,1,901539,SKI-TK. RAJIO,JL. CIHENGAH CIEMAS SUKABUMI,SUKABUMI,43151,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
570,1,901541,SKI-TK. H.SOPIAN,JL. CIKADU NO.21 KP.KEBON KELA,SUKABUMI,43181,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
571,1,901542,SKI-TK. AMANDA,JL. PERINTIS  17 B GEGER BITUN,KAB. SUKABUMI,43197,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
572,1,901543,SKI-TK. DUA PUTRI,JL.CIKADU NO.7 KP.SIRNA GALIH,KAB. SUKABUMI,43181,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
573,1,901544,SKI-TK. CECEP,JL. PS. CIBEBER NO.6 CIANJUR,CIANJUR,43262,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",203
574,1,901545,SKI-TK. HJ AAH,JL.JAMBU DIPA CILAKU RT.02/01,CIANJUR,43261,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",203
575,1,901546,SKI-TK. AIR MANCUR,TANGGEUNG CIANJUR SELATAN,CIANJUR,43267,SKI-RXLK01,EXP LUAR KOTA CIANJUR,301
576,1,901547,SKI-TK. ABANG AMIN,JL.PAKUON PARAKAN SALAK KP.PAK,KAB. SUKABUMI,43357,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
577,1,901548,SKI-TK. RIFKY,JL. RY JANGARI NO.20 RT 02/06,CIANJUR,43292,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
578,1,901549,SKI-TC. DARMAWAN,PS. CIPANAS BLOK C LT.DASAR NO,CIANJUR,43212,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",203
579,1,901550,SKI-TK. ATRIA JAYA,PS. CIPANAS BLOK C LT.DASAR NO,CIANJUR,43212,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",206
580,1,901551,SKI-TK. SALUYU,JL. RAYA CIOBONG DESA KERTASAR,CIANJUR,43212,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
581,1,901552,SKI-TO. SUKA SEHAT,JL. RAYA KERTAJADI RT 3 RW 1 C,CIANJUR,43212,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
582,1,901554,SKI-TK. WALAGRI,"JL. SAFIR RAYA BLOK 4 NO. 8 ,",SUKABUMI,43151,SKI-Z1CP01,SUKABUMI KOTA,200
583,1,901555,SKI-TO. BERKAH,"JL. R. GUDANG SAGARANTEN, SUKA",KAB. SUKABUMI,43181,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
584,1,901556,SKI-AP. INDRA 2,JL. SITI JENAB NO I CIANJUR,CIANJUR,43212,SKI-RXLK01,EXP LUAR KOTA CIANJUR,301
585,1,901557,SKI-TO. POPULER,JL. RY. CIKALONG RT.03 RW.05 N,CIANJUR,43291,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",203
586,1,901558,SKI-TC. SRI,"PS. CITARIK RT 03/01 TONJONG,",KAB. SUKABUMI,43364,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
587,1,901560,SKI-TK. SUGIH,KP. MARINJUNG HILIR RT.2/3 NO.,SUKABUMI,43364,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",205
588,1,901561,SKI-TC. RATU KOSMETIK,PS. CIPANAS LANTAI 2 BLOK A NO,CIANJUR,43253,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",206
589,1,901562,SKI-TK. AYU WANGI,KP. TUGU DESA CIPEUNDEUY NO.27,SUKABUMI,43179,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
590,1,901563,SKI-MM. VICA,"JL. ARWINDA NO.8 , KARANG TENG",CIANJUR,43281,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",203
591,1,901564,SKI-TK. RESTU IBU,PS. CIPANAS RAHAYU NO.5-6 CIPA,CIANJUR,43253,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",203
592,1,901565,SKI-TO. MAKMUR,JL. RAYA CIPANAS NO.117 RT.1/6,CIANJUR,43253,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",206
593,1,901566,SKI-TK. PUTRA,"PS. RAHAYU BLOK A NO.66/67, SI",CIANJUR,43253,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",203
594,1,901567,SKI-TK. ENDEH,"JL. R ANCENAN SAGARANTEN, SUKA",SUKABUMI,43181,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
595,1,901568,SKI-TC. RAVIO KOSMETIK,"PS. CIPANAS , LANTAI DASAR BLO",CIANJUR,43253,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",206
596,1,901569,SKI-AP. JAMPANG MEDIKA,KP. MANDALA DESA TANJUNG KEC.,KAB. SUKABUMI,43178,SKI-Z2PH01,"PALABUHAN RATU, SURADE",101
597,1,901570,SKI-PT.LION SUPER INDO,JL.RA.KOSASIH RT.02/07 SUBANG,SUKABUMI,43113,SKI-Z1CP01,SUKABUMI KOTA,200
598,1,901571,SKI-TK. MELATI I,PS. CIPANAS LANTAI I BLOK C NO,CIANJUR,43253,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",206
599,1,901572,SKI-TC. SINAR KOSMETIK,PS. BARU CICURUG BLOK A NO.22,SUKABUMI,43359,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
600,1,901573,SKI-AP. INDRA 2,JL. SITI JENAB NO.1 CIANJUR KE,CIANJUR,43211,SKI-Z3PH01,"CIANJUR KOTA, CIBEBER,",102
601,1,901574,SKI-MM. SURYA MART,JL. RY. SKBMI NO.61 SUKAMAJU C,CIANJUR,43211,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",203
602,1,901575,SKI-TK. HAMID AR,JL. PELABUHAN II PS. DY BHAKTI,KAB. SUKABUMI,43364,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",102
603,1,901576,SKI-KIOS IBU DEDE,PASAR GSP LT I BLOK RA NO. 5 C,CIANJUR,43253,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",206
604,1,901577,SKI-MM. TOSERBA FAMILY,JL. RAYA CIGOMBONG RT.03/04 DE,CIANJUR,43212,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",203
605,1,901578,SKI-TK. HIDUP BARU,JL. PELABUHAN 2 DESA PADASUKA,SUKABUMI,43157,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
606,1,901579,SKI-TK. H TAUFIK,JL. SIMPANG PAGELARAN RT.05 RW,CIANJUR,43266,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
607,1,901580,SKI-TK. KURNIA,"JL. JATI SARI , SINDANG BARANG",CIANJUR,43272,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
608,1,901581,SKI-TK. MANDIRI,"JL. KADUPANDAK CIANJUR, CIANJU",CIANJUR,43268,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
609,1,901582,SKI-TK. WARGI JAYA,JL. JATI SARI UJUNG RT.04 RW.0,CIANJUR,43272,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
610,1,901583,SKI-TK. SARIASIH,JL. AGRABINTA PASIR NAGARA SIN,CIANJUR,43272,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
611,1,901584,SKI-TK. H MARWAN,JL. AGRABINTA KM.43 PALAGA SAR,CIANJUR,43272,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
612,1,901585,SKI-TK. TIGA SAUDARA 2,DS. MEKAR SARI RT.01 RW.01 CIA,CIANJUR,43273,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
613,1,901586,SKI-TK. TIGA SAUDARA,JL. HEMARANG AGRABINTA CIANJUR,CIANJUR,43273,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
614,1,901587,SKI-TK. ALIV,"PS. CICURUG BLOK B NO 9 B12, K",KAB. SUKABUMI,43359,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
615,1,901588,SKI-TK. SUSU SEHAT,"JL. IR. H. JUANDA NO.1, CIKOLE",SUKABUMI,43113,SKI-Z1CP01,SUKABUMI KOTA,200
616,1,901589,SKI-TK. SUMAYA,"DS.BATU LAYANG,LOJI,RT2/07,LOJ",CIANJUR,43253,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",203
617,1,901590,SKI-TO. SHIFA,PS. KAUNG RAYA CIANJUR,CIANJUR,43267,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",203
618,1,901591,SKI-TK. FAMILY ABADI,KP. CIBUNTU DESA BUNIWANGI RT.,SUKABUMI,43179,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
619,1,901592,SKI-TK. SINAR MATAHARI,"JL. DR. MAWARDI NO.53,KEL.MUKA",CIANJUR,43214,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",203
620,1,901593,SKI-TK. NAGA MAS,JL. RY. NAGRAK NO.88 RT.02/02,SUKABUMI,43351,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
621,1,901594,SKI-TK. MUSTOFA,"JL. RY CIGOMBONG 9 CIANJUR, CI",CIANJUR,43262,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
622,1,901595,SKI-TK. GELAR ANYAR,KP. CIGADOG RT.01 RW.05 TANGGE,CIANJUR,43267,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
623,1,901596,SKI-TK. BANG ALI,JL. RY. CIPANAS KP. CIHERANG R,CIANJUR,43252,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",206
624,1,901597,SKI-TK. TEH NENG,JL. HANCET DS PALASARI CIPANAS,CIANJUR,43253,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
625,1,901598,SK-TK. SUMBER HIRUP,KP. MEKAR SARI RT.01/01 BOJONG,CIANJUR,43273,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
626,1,901599,SKI-TK. SEDERHANA,JL. RA NATAMANGGALA RT.03 RW.0,CIANJUR,43292,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
627,1,901600,SKI-TK. JEMBAR RIZKI,JL. SILIWANGI 3/4 CICURUG SMI,SUKABUMI,43359,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
628,1,901601,SK-TK. BINANGKIT,KP. JAYA SARI RT.01/01 BOJONG,CIANJUR,43273,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
629,1,901602,SKI-TK. FATIMAH,PS. CIPANAS LT.II NO.63 PACET,CIANJUR,43253,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",206
630,1,901603,SKI-TK. PI DUA SEPUH,JL. CISEUREUH JAYA GIRI RT.01,CIANJUR,43272,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
631,1,901604,SKI-TK. MULYA INDAH,KP. SINAR GALIH RT.03 RW.03 CI,CIANJUR,43282,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",206
632,1,901605,SKI-TK. DUDI (BP),"PS. UBRUG WR.KIARA SUKABUMI, S",SUKABUMI,43364,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",205
633,1,901606,SKI-TK. RUSLAN,JL. CIUJUNG JAYA GIRI RT.03 RW,CIANJUR,43272,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
634,1,901607,SKI-TK. HIKMATUNA,JL. RAYA BANDUNG KP. PASIR HON,CIANJUR,43282,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",206
635,1,901608,SKI-TO. AZ-ZIKRA,JL. RY. SINDANG BARANG RT.02 R,CIANJUR,43272,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
636,1,901609,SKI-TK. NN,JL. PELABUHAN RATU CISOLOK,KAB. SUKABUMI,43366,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
637,1,901610,SKI-TK. TEJA,JL. RY SAFIR 10 PERUM BAROS KE,SUKABUMI,43161,SKI-Z1CP01,SUKABUMI KOTA,200
638,1,901611,SKI-TK. SALUYU PUTRA,"JL. KELAPA DUA RT.04/02, SINDA",CIANJUR,43282,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
639,1,901612,SKI-TK. BUDI,JL. CIEMAS SAMPING DESA SMI SB,SUKABUMI,43177,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
640,1,901613,SKI-TK. LION,"JL. RY CIRANJANG NO 37,CIRANJA",CIANJUR,43282,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",206
641,1,901614,SKI-TO. ALFEIN,PS. CIPANAS LT. DASAR BL. C NO,CIANJUR,43253,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
642,1,901615,SKI-TK. IBU ATI,"PS. UBRUG WR. KIARA SUKABUMI,",SUKABUMI,43364,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",205
643,1,901616,SKI-TK. SALSA,PS. SUKANEGARA NO.32 SAMPING B,CIANJUR,43264,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
644,1,901617,SKI-TK. SANDI,"PS. UBRUG WR.KIARA SUKABUMI, S",SUKABUMI,43364,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",205
645,1,901618,SKI-TK. YAYAN,JL. CIJAMPANG PAGELARAN CJR,CIANJUR,43266,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
646,1,901619,SKI-TK. AIR MANCUR,TANGGEUNG CIANJUR SELATAN,CIANJUR,43267,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
647,1,901680,SKI-GIANT SPM SUKABUMI KOSASIH,JL. RA KOSASIH CIBEUREUM SUKAB,SUKABUMI,43165,SKI-Z1CP01,SUKABUMI KOTA,200
648,1,901683,SKI-MM. BERKAH BARU,"JL. SURYA KENCANA CIBADAK SMI,",KAB. SUKABUMI,43351,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
649,1,901684,SKI-MM. SEMART,JL. RAYA CIKALONG RT 04/03 SUK,CIANJUR,43291,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",206
650,1,901685,SKI-MM. SLA - MART,JL. SILIWANGI NO.93 PELABUHAN,SUKABUMI,43364,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",205
651,1,901686,SKI-MM. SLAMET CIBEBER,JL.RAYA CIBEBER NO.77 CIPETIR,CIANJUR,43262,SKI-RXLK01,EXP LUAR KOTA CIANJUR,301
652,1,901687,SKI-ASRI MART,"JL. NIAGA ASRI BLOK R1/1 SMI,",SUKABUMI,43151,SKI-Z1CP01,SUKABUMI KOTA,200
653,1,901787,SKI-TK. CIBADAK JAYA,JL.PERTOKOAN LABORA BLOK A NO.,SUKABUMI,43351,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",202
654,1,902066,SKI-TC. ADITY COSMETIC,KP. LEGOK NYENANG RT.5/9 (SBLH,SUKABUMI,43192,SKI-LKDCP03,"CIMANGKOK,CIBEBER,WARU",204
655,1,902067,SKI-TK. ABAH RAIHAN,KP. PALASARI RT.002/006 SELA A,SUKABUMI,43192,SKI-LKDCP03,"CIMANGKOK,CIBEBER,WARU",204
