32,1,900737,SKI-TK. MAMAN,PS PARUNG KUDA BLOK G NO.60 SU,KAB. SUKABUMI,43357,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
33,1,900738,SKI-TK. SISDIANA,"JL. CIEMAS RT.07/01 CIEMAS, SU",SUKABUMI,43177,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
34,1,900739,SKI-TK. KAPAL API,"PS. CIRANJANG NO. 39 CRJ, CIAN",CIANJUR,43282,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",203
35,1,900740,"SKI-TK. ANA,HJ","JL. PAGELARAN NO.15 CIANJUR, C",CIANJUR,43266,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
36,1,900741,SKI-TK. ASEP,"JL. CIEMAS RT.05/01 JP KULON,",SUKABUMI,43177,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
37,1,900742,SKI-TK. ASRI,JL. BHAYANG KARA 49 SMI,SUKABUMI,43123,SKI-Z1CP01,SUKABUMI KOTA,200
38,1,900743,SKI-AP. CIPANAS,JL.RAYA CIPANAS NO.144 CIANJUR,CIANJUR,43253,SKI-Z3PH01,"CIANJUR KOTA, CIBEBER,",102
39,1,900744,SKI-MM. HAPPY,JL. HANJAWAR PACET NO.61 CIANJ,CIANJUR,43253,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",203
40,1,900745,SKI-TK. LILIS,"JL. NEGLASARI RT.01/02 JPKLN,",KAB. SUKABUMI,43178,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
41,1,900746,SKI-TK. RELASI,"KP. CILETUK KIARA II RT 32/08,",KAB. SUKABUMI,43151,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
42,1,900747,SKI-TK. ACONG,JL. RE MARTADINATA NO.20 - SMI,SUKABUMI,43111,SKI-Z1CP01,SUKABUMI KOTA,200
43,1,900748,SKI-TK. PADMA,JL. LENGKONG RT.09/03 SUKABUMI,SUKABUMI,43174,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
44,1,900749,SKI-TK. AL HIKMAH,"PS. PARUNG KUDA BLK F2 SMI, SU",SUKABUMI,43357,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
45,1,900750,SKI-PT. PANJUNAN,JL. RAYA BANDUNG KM. 5 DEPAN R,CIANJUR,43291,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
46,1,900751,SKI-TK. HENDI,"JL. RAYA CIKASO KM.1 SURADE, S",KAB. SUKABUMI,43179,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
47,1,900752,SKI-TK. WIRYO,JL. BARU NO.2 PEL. RATU SMI,KAB. SUKABUMI,43364,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
48,1,900753,SKI-TO. PELITA,JL. STASION BARAT NO.15 BLOK A,SUKABUMI,43111,SKI-Z1CP01,SUKABUMI KOTA,200
49,1,900754,SKI-TK. SAEFUL,PS.CIBADAK LOS.C NO.7 CIBADAK,SUKABUMI,43351,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
50,1,900755,SKI-PT. PANJUNAN,"JL. RA. KOSASIH NO.9 SUKARAJA,",KAB. SUKABUMI,43192,SKI-Z2CP02,"PARUNG KUDA, PARAKAN S",201
